分类: 💰央视付费频道, 名称: 风云足球, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 372 ms, 最高速率: 11.28 M/s, 平均速率: 11.28 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 世界地理, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 285 ms, 最高速率: 13.65 M/s, 平均速率: 13.65 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 1, IPv4: 5, IPv6: 0, 最小延迟: 310 ms, 最高速率: 14.22 M/s, 平均速率: 14.22 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 广东卫视, 有效: 3, IPv4: 33, IPv6: 0, 最小延迟: 149 ms, 最高速率: 84.26 M/s, 平均速率: 32.15 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 34, IPv6: 0, 最小延迟: 233 ms, 最高速率: 10.23 M/s, 平均速率: 4.42 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 42, IPv6: 0, 最小延迟: 213 ms, 最高速率: 11.56 M/s, 平均速率: 7.39 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 北京卫视, 有效: 3, IPv4: 31, IPv6: 0, 最小延迟: 20 ms, 最高速率: 12.67 M/s, 平均速率: 7.05 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 1, IPv4: 30, IPv6: 0, 最小延迟: 326 ms, 最高速率: 9.99 M/s, 平均速率: 9.99 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 1, IPv4: 26, IPv6: 0, 最小延迟: 265 ms, 最高速率: 12.35 M/s, 平均速率: 12.35 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 3, IPv4: 27, IPv6: 0, 最小延迟: 33 ms, 最高速率: 30.41 M/s, 平均速率: 24.16 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 1, IPv4: 30, IPv6: 0, 最小延迟: 341 ms, 最高速率: 9.45 M/s, 平均速率: 9.45 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 199 ms, 最高速率: 13.96 M/s, 平均速率: 7.07 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 1, IPv4: 20, IPv6: 0, 最小延迟: 468 ms, 最高速率: 7.14 M/s, 平均速率: 7.14 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 1, IPv4: 17, IPv6: 0, 最小延迟: 299 ms, 最高速率: 10.91 M/s, 平均速率: 10.91 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 1, IPv4: 26, IPv6: 0, 最小延迟: 341 ms, 最高速率: 9.63 M/s, 平均速率: 9.63 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 4, IPv4: 28, IPv6: 0, 最小延迟: 32 ms, 最高速率: 34.82 M/s, 平均速率: 22.99 M/s, 最高分辨率: 1920x1080
